,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
260,6.715,5.881,5.89,6.199,6.54,8.967,9.613,8.224,10.089
261,5.708,6.881,6.89,7.199,6.516,7.956,8.616,8.242,8.945
262,5.762,6.879,6.998,7.201,6.253,7.993,8.578,9.164,8.946
263,6.786,6.849,6.965,7.196,7.577,8.955,9.679,9.144,10.5
264,6.789,5.878,5.824,6.18,7.599,8.997,9.624,8.161,10.015
265,6.7,5.896,5.797,6.27,6.609,9.063,9.548,8.231,9.862
266,5.76,6.893,6.8,6.293,7.6,8.216,8.503,8.233,8.877
267,5.779,6.855,6.802,7.265,6.525,8.281,8.665,9.237,10.096
268,5.765,6.858,6.815,7.269,7.792,9.277,9.643,9.263,10.108
269,6.821,5.87,5.845,6.257,7.51,9.205,9.636,10.249,10.145
270,6.793,5.802,5.954,6.248,7.217,9.522,8.694,8.35,9.279
271,5.814,5.829,6.969,6.178,7.229,8.254,8.68,8.648,9.293
272,5.766,6.811,6.982,7.252,6.282,8.093,9.652,9.285,10.095
273,5.73,6.839,6.982,7.22,7.509,8.049,9.621,9.544,10.049
274,6.731,5.816,5.868,6.19,7.635,9.122,8.315,9.265,8.909
275,6.771,5.893,5.932,6.202,7.461,9.011,8.759,8.249,8.981
276,5.76,5.851,5.915,6.199,6.217,7.941,8.353,8.281,9.16
277,5.787,6.849,6.975,7.161,6.16,7.941,9.543,9.306,10.305
278,5.767,6.869,7.053,5.799,7.214,7.869,9.257,9.32,10.293
279,6.782,15.889,5.635,6.233,7.301,8.992,8.611,9.197,9.293
280,6.744,5.946,6.031,6.144,7.252,7.989,8.57,8.186,9.126
281,5.783,5.878,5.998,6.191,6.287,8.023,8.572,8.192,10.371
282,5.796,6.932,7.102,7.255,6.223,8.264,9.503,9.201,10.326
283,5.739,6.931,7.065,7.211,7.206,9.237,9.68,9.203,8.972
284,6.741,5.886,5.915,7.259,7.208,9.505,8.562,9.246,9.029
285,6.687,5.892,5.812,6.259,7.491,8.324,8.678,8.494,10.527
